p,n,sick_obs_percentage,actual_sd,mean_est_sd,rejected,actual_est_ratio
5,50,0.5,0.012388328683023,0.0139086678109351,0,0.890691247459603
5,50,0.5,0.0336488643232113,0.102012837045716,0,0.329849314043994
5,50,0.5,0.0166669878472701,0.0305896256729283,0,0.544857528675818
5,50,0.5,0.0686045258822591,0.0344142005740272,3,1.99349468353002
5,50,0.5,0.076424083536462,0.0479537338074782,1,1.59370454537044
5,50,0.5,0.157814569318583,0.0687928348335929,3,2.29405532858661
5,50,0.5,0.0496593306317334,0.0208565636046574,2,2.38099293694979
5,50,0.5,0.131064036502746,0.047208138673799,3,2.77630171798084
5,50,0.5,0.025702906105775,0.0249150919720785,0,1.03161995687511
5,50,0.5,0.0203530577666175,0.0308127228688463,0,0.660540707591792
5,50,0.5,0.188415559942096,0.0466349995753858,4,4.04021789766549
5,50,0.5,0.0617752643324698,0.048720304281023,0,1.26795727662423
5,50,0.5,0.0399166206663202,0.0379771092843695,0,1.05107053745001
5,50,0.5,0.0865552238235272,0.0421210120951206,2,2.05491794993107
5,50,0.5,0.035860678243478,0.0259391906740443,0,1.38249025168551
5,50,0.5,0.0453602370318118,0.0421675624766632,0,1.07571399359201
5,50,0.5,0.0748466618625405,0.0298322729986731,2,2.50891582635589
5,50,0.5,0.0517307899491057,0.0266765643526692,1,1.93918486898144
5,50,0.5,0.114383155936961,0.0253196993039543,3,4.51755585893144
5,50,0.5,0.116310828857427,0.050274795963724,2,2.31350175824386
10,50,0.5,0.0181437866386449,0.0188556009460938,0,0.962249184765634
10,50,0.5,0.0213104400619233,0.0182072036089949,0,1.17044003678826
10,50,0.5,0.033789650637473,0.0194148068318979,1,1.74040622345815
10,50,0.5,0.0331810833231601,0.0197144526609092,2,1.68308417656216
10,50,0.5,0.0224657422665627,0.0182995947574637,2,1.2276633752996
10,50,0.5,0.0616640407259238,0.0273982823520856,3,2.25065352395092
10,50,0.5,0.0345918806057842,0.0218874101513338,4,1.58044649260051
10,50,0.5,0.0229758641093432,0.0216023031345288,0,1.06358400612474
10,50,0.5,0.0326230055309605,0.0156840662636291,4,2.08000941736726
10,50,0.5,0.0367877441795477,0.0221423640396271,2,1.6614189936409
10,50,0.5,0.0448810571957674,0.0249549525030216,1,1.79848297408432
10,50,0.5,0.0229607243704173,0.0223651093501767,0,1.02663143787561
10,50,0.5,0.033379183681889,0.0191083922112063,3,1.74683371122734
10,50,0.5,0.0249436770844628,0.0204274911443768,1,1.22108373016376
10,50,0.5,0.0470522052570118,0.0194953902766621,5,2.41350414581533
10,50,0.5,0.026255755098729,0.0226013480998762,0,1.16168977986197
10,50,0.5,0.0153534836544865,0.0165895004936582,0,0.925494029211776
10,50,0.5,0.0790439822485434,0.023014541628587,4,3.43452342106873
10,50,0.5,0.0289605396981068,0.0155602625228427,6,1.8611858029768
10,50,0.5,0.0454612112536824,0.029697588059076,4,1.53080483045453
5,80,0.5,0.00647374068297632,0.01772410017746,0,0.365250738720664
5,80,0.5,0.0432957287462185,0.033535011018064,1,1.29106051949399
5,80,0.5,0.0284957586080514,0.0240768728974907,0,1.18353237687362
5,80,0.5,0.0594342407703996,0.0297036942580221,1,2.00090400386302
5,80,0.5,0.0248741105796124,0.0107891916462652,1,2.3054656359008
5,80,0.5,0.0196596704072306,0.0129396104237032,1,1.5193402091316
5,80,0.5,0.00763163726130981,0.0124660926158237,0,0.612191606183212
5,80,0.5,0.0126958299611064,0.0147553073866275,0,0.860424634231096
5,80,0.5,0.0549133294676981,0.0314128435962103,1,1.74811711329194
5,80,0.5,0.0361749212833102,0.0213118096041788,1,1.69741199622096
5,80,0.5,0.0301069581594678,0.021121190832003,0,1.42543848019448
5,80,0.5,0.0292754391354281,0.0257629809704453,0,1.13633741254602
5,80,0.5,0.0205505774754086,0.0269952882888838,0,0.761265345844482
5,80,0.5,0.0146279679677748,0.0162547699693197,0,0.899918485182172
5,80,0.5,0.074894980760251,0.0540970732984766,0,1.3844553169637
5,80,0.5,0.032626636584056,0.0141467782400305,2,2.30629448136352
5,80,0.5,0.0390758080238912,0.0232639277516738,1,1.67967371808399
5,80,0.5,0.0380827221928643,0.0600444177291076,0,0.634242509681345
5,80,0.5,0.0183303911529304,0.0105013809889317,2,1.74552196251621
5,80,0.5,0.0517239938174189,0.0309957376817275,2,1.66874537230037
10,80,0.5,0.0202779270083727,0.0177277554382027,0,1.14385191509775
10,80,0.5,0.0289531730904337,0.0191011337336063,2,1.5157829631596
10,80,0.5,0.028208193915493,0.0146273332925589,3,1.92845772714039
10,80,0.5,0.0430474891361856,0.0119885429822569,5,3.59071900562863
10,80,0.5,0.0259937452655252,0.0132982300920999,1,1.95467705743543
10,80,0.5,0.0289610068960517,0.01144946926624,6,2.52946282684442
10,80,0.5,0.0216261390046421,0.0149193059455632,1,1.44954055393397
10,80,0.5,0.0214026610436039,0.018783018785758,1,1.13946864919457
10,80,0.5,0.0247476720829769,0.0174331270590406,2,1.41957733682341
10,80,0.5,0.013476102394902,0.0105922402364832,1,1.27226177787072
10,80,0.5,0.0289598463963432,0.0157540499364562,4,1.8382477212623
10,80,0.5,0.0226267500584393,0.017316441334883,1,1.30666281950547
10,80,0.5,0.0477696329504066,0.0187162773846076,4,2.55230417720207
10,80,0.5,0.0100526226057571,0.0137963360824769,1,0.728644369465973
10,80,0.5,0.0332040079892256,0.0177861098842172,2,1.86685049206234
10,80,0.5,0.0173805202023935,0.0154467526021338,2,1.12518926469972
10,80,0.5,0.0282783356645967,0.0247254604488848,1,1.14369298493174
10,80,0.5,0.0231528168538019,0.0122992860524348,3,1.88245209966627
10,80,0.5,0.0274222426802718,0.0205428879091211,3,1.33487768621354
10,80,0.5,0.0349174359361509,0.0200519929939865,2,1.74134491003575
5,50,0.6,0.0499265896425284,0.0178076415000974,4,2.80366098128465
5,50,0.6,0.0396644082615292,0.0305398158408461,1,1.29877693003241
5,50,0.6,0.0383079328534932,0.024640062323861,0,1.55470113468003
5,50,0.6,0.0570431384580945,0.0308300385354179,2,1.85024544787911
5,50,0.6,0.0302881010686181,0.0272047576430622,2,1.11333838977765
5,50,0.6,0.136062552435396,0.0746743503449239,2,1.82207882367798
5,50,0.6,0.0284999699702324,0.0129040206570595,1,2.20861162018063
5,50,0.6,0.0145614246961466,0.0371705599336315,0,0.391746175525636
5,50,0.6,0.0225698101944248,0.0365549364375295,0,0.617421677999508
5,50,0.6,0.0482470793955949,0.057560736578759,0,0.838194266843329
10,50,0.6,0.0387236608500977,0.0208241970988063,2,1.85955120700992
10,50,0.6,0.0306801817786195,0.0148233642810523,3,2.0697178587074
10,50,0.6,0.0406617133803849,0.0218748926115886,2,1.85883030844429
10,50,0.6,0.048781042005534,0.0231021623601968,3,2.11153576210597
10,50,0.6,0.0419833880126379,0.0280151301857982,1,1.49859692723901
10,50,0.6,0.0363607598120174,0.0235598937200204,1,1.54333293028055
10,50,0.6,0.0413464233004605,0.0208222106572478,5,1.98568845455747
10,50,0.6,0.0264144324081186,0.0309565102715045,0,0.853275520284762
10,50,0.6,0.0381438544981218,0.0201708132481349,3,1.89104197381078
10,50,0.6,0.0817274424969954,0.0283702740825557,4,2.88074208444986
5,80,0.6,0.0127187892264999,0.0111018179851148,0,1.14564923002279
5,80,0.6,0.0619449361322803,0.0270866070841972,4,2.28692120573566
5,80,0.6,0.0569068962861651,0.0266302737318023,2,2.13692494712159
5,80,0.6,0.0163788131441466,0.0301661759550853,0,0.542952914168943
5,80,0.6,0.0185260957194081,0.0123757898305039,1,1.49696269677633
5,80,0.6,0.0379598850918973,0.0404772435205408,0,0.937808056831587
5,80,0.6,0.044969534735094,0.0300031529539358,1,1.498826966757
5,80,0.6,0.0334172206726484,0.0219612475469039,0,1.52164491572154
5,80,0.6,0.045602320516952,0.0194755444055425,1,2.34151711332773
5,80,0.6,0.0361096869961449,0.0308352235823605,0,1.17105319180503
